,Symbol,Name,Sector
227,HOLX,Hologic,Health Care
228,HD,Home Depot,Consumer Discretionary
229,HON,Honeywell,Industrials
230,HRL,Hormel,Consumer Staples
231,HST,Host Hotels & Resorts,Real Estate
232,HWM,Howmet Aerospace,Industrials
233,HPQ,HP,Information Technology
234,HUM,Humana,Health Care
235,HBAN,Huntington Bancshares,Financials
236,HII,Huntington Ingalls Industries,Industrials
237,IBM,IBM,Information Technology
238,IEX,IDEX Corporation,Industrials
239,IDXX,Idexx Laboratories,Health Care
240,INFO,IHS Markit,Industrials
241,ITW,Illinois Tool Works,Industrials
242,ILMN,Illumina,Health Care
243,INCY,Incyte,Health Care
244,IR,Ingersoll Rand,Industrials
245,INTC,Intel,Information Technology
246,ICE,Intercontinental Exchange,Financials
247,IFF,International Flavors & Fragrances,Materials
248,IP,International Paper,Materials
249,IPG,Interpublic Group,Communication Services
250,INTU,Intuit,Information Technology
251,ISRG,Intuitive Surgical,Health Care
252,IVZ,Invesco,Financials
253,IPGP,IPG Photonics,Information Technology
254,IQV,IQVIA,Health Care
255,IRM,Iron Mountain,Real Estate
256,JKHY,Jack Henry & Associates,Information Technology
257,J,Jacobs Engineering Group,Industrials
258,JBHT,JB Hunt,Industrials
259,SJM,JM Smucker,Consumer Staples
260,JNJ,Johnson & Johnson,Health Care
261,JCI,Johnson Controls,Industrials
262,JPM,JPMorgan Chase,Financials
263,JNPR,Juniper Networks,Information Technology
264,KSU,Kansas City Southern,Industrials
265,K,Kellogg's,Consumer Staples
266,KEY,KeyCorp,Financials
267,KEYS,Keysight Technologies,Information Technology
268,KMB,Kimberly-Clark,Consumer Staples
269,KIM,Kimco Realty,Real Estate
270,KMI,Kinder Morgan,Energy
271,KLAC,KLA Corporation,Information Technology
272,KHC,Kraft Heinz,Consumer Staples
273,KR,Kroger,Consumer Staples
274,LB,L Brands,Consumer Discretionary
275,LHX,L3Harris Technologies,Industrials
276,LH,LabCorp,Health Care
277,LRCX,Lam Research,Information Technology
278,LW,Lamb Weston,Consumer Staples
279,LVS,Las Vegas Sands,Consumer Discretionary
280,LEG,Leggett & Platt,Consumer Discretionary
281,LDOS,Leidos,Industrials
282,LEN,Lennar,Consumer Discretionary
283,LNC,Lincoln National,Financials
284,LIN,Linde,Materials
285,LYV,Live Nation Entertainment,Communication Services
286,LKQ,LKQ Corporation,Consumer Discretionary
287,LMT,Lockheed Martin,Industrials
288,L,Loews Corporation,Financials
289,LOW,Lowe's,Consumer Discretionary
290,LUMN,Lumen Technologies,Communication Services
291,LYB,LyondellBasell,Materials
292,MTB,M&T Bank,Financials
293,MRO,Marathon Oil,Energy
294,MPC,Marathon Petroleum,Energy
295,MKTX,MarketAxess,Financials
296,MAR,Marriott International,Consumer Discretionary
297,MMC,Marsh & McLennan,Financials
298,MLM,Martin Marietta Materials,Materials
299,MAS,Masco,Industrials
300,MA,Mastercard,Information Technology
301,MXIM,Maxim Integrated,Information Technology
302,MKC,McCormick & Company,Consumer Staples
303,MCD,McDonald's,Consumer Discretionary
304,MCK,McKesson Corporation,Health Care
305,MDT,Medtronic,Health Care
306,MRK,Merck & Co,Health Care
307,MET,MetLife,Financials
308,MTD,Mettler Toledo,Health Care
309,MGM,MGM Resorts International,Consumer Discretionary
310,MCHP,Microchip Technology,Information Technology
311,MU,Micron Technology,Information Technology
312,MSFT,Microsoft,Information Technology
313,MAA,Mid-America Apartments,Real Estate
314,MHK,Mohawk Industries,Consumer Discretionary
315,TAP,Molson Coors Beverage Company,Consumer Staples
316,MDLZ,Mondelez International,Consumer Staples
317,MPWR,Monolithic Power Systems,Information Technology
318,MNST,Monster Beverage,Consumer Staples
319,MCO,Moody's Corporation,Financials
320,MS,Morgan Stanley,Financials
321,MSI,Motorola Solutions,Information Technology
322,MSCI,MSCI,Financials
323,NDAQ,Nasdaq,Financials
324,NTAP,NetApp,Information Technology
325,NFLX,Netflix,Communication Services
326,NWL,Newell Brands,Consumer Discretionary
327,NEM,Newmont,Materials
328,NWSA,News Corp (Class A),Communication Services
329,NWS,News Corp (Class B),Communication Services
330,NEE,NextEra Energy,Utilities
331,NLSN,Nielsen Holdings,Industrials
332,NKE,Nike,Consumer Discretionary
333,NI,NiSource,Utilities
334,NSC,Norfolk Southern,Industrials
335,NTRS,Northern Trust,Financials
336,NOC,Northrop Grumman,Industrials
337,NLOK,NortonLifeLock,Information Technology
338,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
339,NOV,Nov,Energy
340,NRG,NRG Energy,Utilities
341,NUE,Nucor,Materials
342,NVDA,Nvidia,Information Technology
343,NVR,NVR,Consumer Discretionary
344,NXPI,NXP,Information Technology
345,ORLY,O'Reilly Automotive,Consumer Discretionary
346,OXY,Occidental Petroleum,Energy
347,ODFL,Old Dominion Freight Line,Industrials
348,OMC,Omnicom Group,Communication Services
349,OKE,Oneok,Energy
350,ORCL,Oracle,Information Technology
351,OGN,Organon & Co.,Health Care
352,OTIS,Otis Worldwide,Industrials
353,PCAR,Paccar,Industrials
354,PKG,Packaging Corporation of America,Materials
355,PH,Parker-Hannifin,Industrials
356,PAYX,Paychex,Information Technology
357,PAYC,Paycom,Information Technology
358,PYPL,PayPal,Information Technology
359,PENN,Penn National Gaming,Consumer Discretionary
360,PNR,Pentair,Industrials
361,PBCT,People's United Financial,Financials
362,PEP,PepsiCo,Consumer Staples
363,PKI,PerkinElmer,Health Care
364,PRGO,Perrigo,Health Care
365,PFE,Pfizer,Health Care
366,PM,Philip Morris International,Consumer Staples
367,PSX,Phillips 66,Energy
368,PNW,Pinnacle West Capital,Utilities
369,PXD,Pioneer Natural Resources,Energy
370,PNC,PNC Financial Services,Financials
371,POOL,Pool Corporation,Consumer Discretionary
372,PPG,PPG Industries,Materials
373,PPL,PPL,Utilities
374,PFG,Principal Financial Group,Financials
375,PG,Procter & Gamble,Consumer Staples
376,PGR,Progressive Corporation,Financials
377,PLD,Prologis,Real Estate
378,PRU,Prudential Financial,Financials
379,PTC,PTC,Information Technology
380,PEG,Public Service Enterprise Group,Utilities
381,PSA,Public Storage,Real Estate
382,PHM,PulteGroup,Consumer Discretionary
383,PVH,PVH,Consumer Discretionary
384,QRVO,Qorvo,Information Technology
385,QCOM,Qualcomm,Information Technology
386,PWR,Quanta Services,Industrials
387,DGX,Quest Diagnostics,Health Care
388,RL,Ralph Lauren Corporation,Consumer Discretionary
389,RJF,Raymond James Financial,Financials
390,RTX,Raytheon Technologies,Industrials
391,O,Realty Income Corporation,Real Estate
392,REG,Regency Centers,Real Estate
393,REGN,Regeneron Pharmaceuticals,Health Care
394,RF,Regions Financial Corporation,Financials
395,RSG,Republic Services,Industrials
396,RMD,ResMed,Health Care
397,RHI,Robert Half International,Industrials
398,ROK,Rockwell Automation,Industrials
399,ROL,Rollins,Industrials
400,ROP,Roper Technologies,Industrials
401,ROST,Ross Stores,Consumer Discretionary
402,RCL,Royal Caribbean Group,Consumer Discretionary
403,SPGI,S&P Global,Financials
404,CRM,Salesforce,Information Technology
405,SBAC,SBA Communications,Real Estate
406,SLB,Schlumberger,Energy
407,STX,Seagate Technology,Information Technology
408,SEE,Sealed Air,Materials
409,SRE,Sempra Energy,Utilities
410,NOW,ServiceNow,Information Technology
411,SHW,Sherwin-Williams,Materials
412,SPG,Simon Property Group,Real Estate
413,SWKS,Skyworks Solutions,Information Technology
414,SNA,Snap-on,Industrials
415,SO,Southern Company,Utilities
416,LUV,Southwest Airlines,Industrials
417,SWK,Stanley Black & Decker,Industrials
418,SBUX,Starbucks,Consumer Discretionary
419,STT,State Street Corporation,Financials
420,STE,Steris,Health Care
421,SYK,Stryker Corporation,Health Care
422,SIVB,SVB Financial,Financials
423,SYF,Synchrony Financial,Financials
424,SNPS,Synopsys,Information Technology
425,SYY,Sysco,Consumer Staples
426,TMUS,T-Mobile US,Communication Services
427,TROW,T. Rowe Price,Financials
428,TTWO,Take-Two Interactive,Communication Services
429,TPR,Tapestry,Consumer Discretionary
430,TGT,Target Corporation,Consumer Discretionary
431,TEL,TE Connectivity,Information Technology
432,TDY,Teledyne Technologies,Industrials
433,TFX,Teleflex,Health Care
434,TER,Teradyne,Information Technology
435,TSLA,Tesla,Consumer Discretionary
436,TXN,Texas Instruments,Information Technology
437,TXT,Textron,Industrials
438,COO,The Cooper Companies,Health Care
439,HIG,The Hartford,Financials
440,HSY,The Hershey Company,Consumer Staples
441,MOS,The Mosaic Company,Materials
442,TRV,The Travelers Companies,Financials
443,DIS,The Walt Disney Company,Communication Services
444,TMO,Thermo Fisher Scientific,Health Care
445,TJX,TJX Companies,Consumer Discretionary
446,TSCO,Tractor Supply Company,Consumer Discretionary
447,TT,Trane Technologies,Industrials
448,TDG,TransDigm Group,Industrials
449,TRMB,Trimble,Information Technology
450,TFC,Truist Financial,Financials
451,TWTR,Twitter,Communication Services
452,TYL,Tyler Technologies,Information Technology
453,TSN,Tyson Foods,Consumer Staples
454,UDR,UDR,Real Estate
455,ULTA,Ulta Beauty,Consumer Discretionary
456,UAA,Under Armour (Class A),Consumer Discretionary
457,UA,Under Armour (Class C),Consumer Discretionary
458,UNP,Union Pacific,Industrials
459,UAL,United Airlines,Industrials
460,UPS,United Parcel Service,Industrials
461,URI,United Rentals,Industrials
462,UNH,UnitedHealth Group,Health Care
463,UHS,Universal Health Services,Health Care
464,UNM,Unum Group,Financials
465,USB,US Bancorp,Financials
466,VLO,Valero Energy,Energy
467,VTR,Ventas,Real Estate
468,VRSN,Verisign,Information Technology
469,VRSK,Verisk Analytics,Industrials
470,VZ,Verizon Communications,Communication Services
471,VRTX,Vertex Pharmaceuticals,Health Care
472,VFC,VF Corporation,Consumer Discretionary
473,VIAC,ViacomCBS,Communication Services
474,VTRS,Viatris,Health Care
475,V,Visa,Information Technology
476,VNO,Vornado Realty Trust,Real Estate
477,VMC,Vulcan Materials,Materials
478,WRB,W. R. Berkley Corporation,Financials
479,WAB,Wabtec,Industrials
480,WBA,Walgreens Boots Alliance,Consumer Staples
481,WMT,Walmart,Consumer Staples
482,WM,Waste Management,Industrials
483,WAT,Waters Corporation,Health Care
484,WEC,WEC Energy Group,Utilities
485,WFC,Wells Fargo,Financials
486,WELL,Welltower,Real Estate
487,WST,West Pharmaceutical Services,Health Care
488,WDC,Western Digital,Information Technology
489,WU,Western Union,Information Technology
490,WRK,WestRock,Materials
491,WY,Weyerhaeuser,Real Estate
492,WHR,Whirlpool Corporation,Consumer Discretionary
493,WMB,Williams Companies,Energy
494,WLTW,Willis Towers Watson,Financials
495,GWW,WW Grainger,Industrials
496,WYNN,Wynn Resorts,Consumer Discretionary
497,XEL,Xcel Energy,Utilities
498,XLNX,Xilinx,Information Technology
499,XYL,Xylem,Industrials
500,YUM,Yum! Brands,Consumer Discretionary
501,ZBRA,Zebra Technologies,Information Technology
502,ZBH,Zimmer Biomet,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care
